comment,date,rating
"Siendo breve, es una desfachatez que quieran cobrar 3 soles adicionales por el uso de su propia app. Se supone que la compra online es un plus del que ofrece el servicio para ser elegible entre su competencia, no debe asumirlo en cliente. Si es así, pierde su propósito y mejor sale comprar los boletos en la taquilla o mejor, quedarme en casa y ver Netflix...",14/04/2024,1
"Desde hace alrededor de 2 meses se cobra s/3 por una comisión online que, aparentemente siempre la han cobrado, pero que curiosamente recién ahora la publicitan como tal y solo ahora se traduce en un aumento de precio de la entrada por medio de este canal (Llevo usando el canal de compras online por más de 10 años). Lo llamativo de la app era que podías comprar tus entradas con antelación y sin pasar por las colas de boletera física. Al día de hoy ese propósito pierde por completo su sentido.",4/04/2024,1
"La app es muy útil siempre compro por la app y nunca en presencial por tema de tiempo y una recomendación aste socio cineplanet te dan buenas ofertas y los martes siempre están más baratas las entradas sin duda cineplanet es el que más uso, lo único malo que a diferencias de otros cines este no deja ingresar con alimentos, pa lo mucho agua, después. De eso me gusta.",25/02/2025,5
"Hace ya varias semanas que al tratar de pagar mis entradas por la aplicación, con alguna tarjeta de crédito Visa suele mostrarme un mensaje que la compra no se ha podido realizar, no es la primera vez que me sucede y además algunos de mis amigos también les ha pasado lo mismo. Ojalá puedan darle solución ya!!!",23/01/2025,1
"Bueno todo bien, sin embargo. Cada estreno o renovación de cartelrra o x motivo falla la app; el resto bien. Ahorras colas y tiempo sobre todo. Deben colocar recepción de dulcería solo para compra en app o en web y otra para compras en el cine para ahorrar colas y tiempo",3/01/2025,5
"Como se les ocurre colocar un número de código para el ingreso a la app???. No era más fácil que indiquen pon tu correo!!??? Como complican a los clientes. No podemos usar su aplicación porque debemos investigar cómo podemos entrar con un dichoso código de usuario Pésima aplicación, no está orientada a ser la vida más simple al cliente.",4/01/2025,1
"muy lenta la aplicación de Cineplanet y mis códigos Entel nunca me los aceptó y ni decir que han sido usados muchas veces por qué hace más de 6 meses que no voy al cine, 1ra vez que me pasa, no me sentí cómodo y muy cara la entrada, es demasiado dinero , se pasaron para cobrar así",26/12/2024,3
Me han cobrado 70 soles y no me ha llegado ningún QR su app no funciona hoy. Por favor retornar el dinero esta es la 3ra vez que me pasa. Ya reporte a ayuda y soporte espero actúen con prontitud.,4/03/2025,1
"el tiempo limite para hacer la compra es muy corto y si uno utiliza códigos de compra, pues los pierde si el tiempo se termina. y ya no te permite volver a usarlos y las butacas ya no puedes volver a usarlas.",14/02/2025,1
"Tengo problemas con comprar por el aplicativo. Me sale error de compra, en cualquier películo, tengo que ir ahora al cine, hacer mi cola y comprar entradas siendo socio black, este año no pude hacer ni una compra desde mi aplicativo, y hasta la fecha ni una respuesta y ni un arreglo a la falla",24/01/2025,1
"Mala experiencia. Quiero actualizar mi email, y la app no me permite. Cuando clikeo en la ""x"" de la casilla respectiva para escribir el nuevo email, la app no responde.",24/01/2025,2
"fatal, luego de horario y media, quejas por wtsp, y pésima su app he podido lograr hacer el canje. Nunca Más!",15/03/2025,1
"En algunas ocasiones puedo usarla con datos de Colombia en roaming cuando viajo a Perú, pero últimamente me aparece mensaje de que está restringida en mi región a pesar de estar en territorio peruano, solo la puedo usar cuando activo el WiFi, pero cuando estoy en la calle con datos y quiero ver una película se me dificulta ubicar una conexión WiFi, por favor considerar este caso. Para todo lo demás funciona perfectamente.",8/01/2025,4
"muy bueno, muy seguro, pero deberían hacer mejores promociones y reducir un los costos de entradas generales y etc (más que todo para los SOCIOS CINEPLANET) QUE ESTAN INICIANDO.",21/02/2025,4
"Use la app para ver disponibilidad, cuando fui a comprar presencial, me rebotaron de un lugar a otro, hasta que la película ya empezó, van dos veces. Ni más., asco de atención.",15/01/2025,1
"La peor app, no se puede comprar nada y siempre sale error, no puedo cambiar el correo y menos la contraseña, ni siquiera puedo crear otra cuenta porque ya está registrado con mi DNI, lo cual se me niega la creación de otra cuenta un asco.",18/01/2025,1
"La app funciona bien pero todo el tiempo se cierra mi sesión y tengo q estar volviendo a loguearme y nunca funciona mi contraseña y tengo q volver a cambiarla, es lo único molesto.",14/01/2025,3
"Tienen una mala aplicación porque no se guarda al momento de salir cuando voy a hacer una reserva de una entrada, ohh sorpresa cuando voy a pagar si se guarda la información por favor solucionen este problema porque si llega a estresar",4/02/2025,2
"lento y poco intuitivo, siempre demoro con esta app, los asientos demoran en actualizar, un desastre",10/02/2025,1
"He tratado de comprar mis entradas y el aplicativo se reiniciaba, fueron muchas veces, nose a que se debe, pero me ha hecho perder el tiempo.",15/01/2025,2
"Una porqueria, cada vez que quiero pagar online ya sea con tarjeta de debito o con yape, me sale error, ya antes pasaba eso, y al parecer le sucede lo mismo a otros usuarios, y todavia promocionan a un precio especial pagando con tarjeta interbank, cuando no se puede pagar, una burla de parte de cineplanet",30/11/2024,1
"Mejoren su última actualización , en ves de mejorar ha empeorado , no se puede buscar bien las películas solo sale puro estreno",13/03/2025,1
"Gracias por dejar recuperar mi cuenta, buen servicio 10 estrellas si es posible, tiene mejor atención haci x virtual q Cinemark, Cineplanet te atiende al instante en virtual, Cinemark -1000 nunca te atienden ni por recuperar cuenta",5/02/2025,5
"Compré una promoción por Yape y cuando quiero canjear los códigos de descuento por la app o la web me figura ""Error Inesperado"" perdí mi dinero ya que los códigos tienem fecha de caducidad, pésima app",13/01/2025,1
"es un poco complicado cuando se reserva porque si por error retrocedes, salen tus asientos reservados y no hay manera de recuperarlos.",7/01/2025,3
